Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
127,Dangal,2016,2h 41m,"Action, Biography, Drama",8.3,219199,U,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
128,Hamilton,2020,2h 40m,"Biography, Drama, History",8.3,121935,12+,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
129,The Wolf of Wall Street,2013,3h 0m,"Biography, Comedy, Crime",8.2,1640726,A,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
130,Batman Begins,2005,2h 20m,"Action, Drama",8.2,1617466,UA,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
131,Per qualche dollaro in più,1965,2h 12m,"Drama, Western",8.2,282479,U,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
132,Green Book,2018,2h 10m,"Biography, Comedy, Drama",8.2,608707,UA,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
133,Some Like It Hot,1959,2h 1m,"Comedy, Music, Romance",8.2,289500,U,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
134,The Truman Show,1998,1h 43m,"Comedy, Drama",8.2,1243265,U,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
135,Judgment at Nuremberg,1961,2h 59m,"Drama, War",8.3,88433,A,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
136,The Kid,1921,1h 8m,"Comedy, Drama, Family",8.2,138563,Passed,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
137,The Father,2020,1h 37m,"Drama, Mystery",8.2,204531,UA,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
138,Shutter Island,2010,2h 18m,"Drama, Mystery, Thriller",8.2,1509832,A,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
139,All About Eve,1950,2h 18m,Drama,8.2,142027,Approved,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
140,There Will Be Blood,2007,2h 38m,Drama,8.2,657224,A,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
141,Jurassic Park,1993,2h 7m,"Action, Adventure, Sci-Fi",8.2,1096587,UA,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
142,Casino,1995,2h 58m,"Crime, Drama",8.2,579642,A,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
143,Top Gun: Maverick,2022,2h 10m,"Action, Drama",8.2,744587,UA,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
144,The Sixth Sense,1999,1h 47m,"Drama, Mystery, Thriller",8.2,1080097,A,A child psychologist starts treating a young boy with a disturbing secret.
145,Ran,1985,2h 40m,"Action, Drama, War",8.2,140175,Not Rated,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
146,No Country for Old Men,2007,2h 2m,"Crime, Drama, Thriller",8.2,1094768,18,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
147,El Laberinto Del Fauno,2006,1h 58m,"Drama, Fantasy, War",8.2,715555,R,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
148,Unforgiven,1992,2h 10m,"Drama, Western",8.2,445784,A,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.
149,The Thing,1982,1h 49m,"Horror, Mystery, Sci-Fi",8.2,485851,A,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
150,A Beautiful Mind,2001,2h 15m,"Biography, Drama, Mystery",8.2,1007346,UA,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
151,Kill Bill: Vol. 1,2003,1h 51m,"Action, Crime, Thriller",8.2,1226464,A,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
152,The Treasure of the Sierra Madre,1948,2h 6m,"Adventure, Drama, Western",8.2,135191,Approved,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
153,Yojimbo,1961,1h 50m,"Action, Drama, Thriller",8.2,134966,U,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
154,Prisoners,2013,2h 33m,"Crime, Drama, Mystery",8.2,844348,A,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street."
155,The Wild Robot,2024,1h 42m,"Animation, Sci-Fi",8.3,95092,PG,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
156,Finding Nemo,2003,1h 40m,"Animation, Adventure, Comedy",8.2,1139694,U,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
157,The Great Escape,1963,2h 52m,"Adventure, Drama, Thriller",8.2,264279,U,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.
158,Monty Python and the Holy Grail,1975,1h 31m,"Adventure, Comedy, Fantasy",8.2,580387,U,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
159,Howl's Moving Castle,2004,1h 59m,"Animation, Adventure, Family",8.2,469075,U,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
160,The Elephant Man,1980,2h 4m,"Biography, Drama",8.2,265054,UA,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
161,Rashōmon,1950,1h 28m,"Crime, Drama, Mystery",8.2,185792,U,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
162,Dial M for Murder,1954,1h 45m,"Crime, Thriller",8.2,194090,A,A former tennis star arranges the murder of his adulterous wife.
163,Gone with the Wind,1939,3h 58m,"Drama, Romance, War",8.2,340930,U,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
164,Chinatown,1974,2h 10m,"Drama, Mystery, Thriller",8.1,358851,UA,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
165,El Secreto De Sus Ojos,2009,2h 9m,"Drama, Mystery, Romance",8.2,228247,R,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
166,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,"Comedy, Crime",8.1,627234,A,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt."
167,Inside Out,2015,1h 35m,"Animation, Adventure, Comedy",8.1,843708,U,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
168,V for Vendetta,2005,2h 12m,"Action, Drama, Sci-Fi",8.1,1200349,UA,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,"Comedy, Crime, Drama",8.1,570037,A,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
170,Klaus,2019,1h 36m,"Animation, Adventure, Comedy",8.2,200305,7,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
171,Raging Bull,1980,2h 9m,"Biography, Drama, Sport",8.1,389104,A,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
172,Trainspotting,1996,1h 33m,Drama,8.1,739785,A,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
173,The Bridge on the River Kwai,1957,2h 41m,"Adventure, Drama, War",8.1,238267,U,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
174,Demon Slayer: Tsuzumi Mansion Arc,2021,1h 27m,"Animation, Action, Fantasy",8.8,27061,No Rating,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.
175,Catch Me If You Can,2002,2h 21m,"Biography, Crime, Drama",8.1,1134656,A,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
176,Fargo,1996,1h 38m,"Crime, Drama, Thriller",8.1,741579,A,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
177,Warrior,2011,2h 20m,"Action, Drama, Sport",8.1,507220,UA,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
178,Spider-Man: No Way Home,2021,2h 28m,"Action, Adventure, Fantasy",8.2,920267,UA,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
179,Gran Torino,2008,1h 56m,Drama,8.1,828416,UA,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
180,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,"Adventure, Family, Fantasy",8.1,975260,UA,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort."
181,Million Dollar Baby,2004,2h 12m,"Drama, Sport",8.1,735204,UA,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
182,My Neighbour Totoro,1988,1h 26m,"Animation, Comedy, Family",8.1,395806,U,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
183,Mad Max: Fury Road,2015,2h 0m,"Action, Adventure, Sci-Fi",8.1,1141864,UA,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
184,Ben-Hur,1959,3h 32m,"Adventure, Drama",8.1,258715,U,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge."
185,Bacheha-Ye Aseman,1997,1h 29m,"Drama, Family, Sport",8.2,83431,PG,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
186,Barry Lyndon,1975,3h 5m,"Adventure, Drama, War",8.1,188706,U,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
187,12 Years a Slave,2013,2h 14m,"Biography, Drama, History",8.1,754379,A,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
188,Blade Runner,1982,1h 57m,"Action, Drama, Sci-Fi",8.1,840838,UA,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
189,Before Sunrise,1995,1h 41m,"Drama, Romance",8.1,350474,16,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
190,The Grand Budapest Hotel,2014,1h 39m,"Adventure, Comedy, Crime",8.1,908948,UA,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
191,Hacksaw Ridge,2016,2h 19m,"Biography, Drama, History",8.1,619052,A,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
192,Dead Poets Society,1989,2h 8m,"Comedy, Drama",8.1,572031,U,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
193,Gone Girl,2014,2h 29m,"Drama, Mystery, Thriller",8.1,1098207,A,The husband of a missing woman becomes the chief suspect in her disappearance.
194,Salinui Chueok,2003,2h 11m,"Crime, Drama, Mystery",8.1,229338,UA,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
195,In the Name of the Father,1993,2h 13m,"Biography, Crime, Drama",8.1,192309,UA,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
196,The Gold Rush,1925,1h 35m,"Adventure, Comedy, Drama",8.1,121286,Approved,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
197,Maharaja,2024,2h 21m,"Action, Crime, Drama",8.5,56073,No Rating,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
198,"Monsters, Inc.",2001,1h 32m,"Animation, Adventure, Comedy",8.1,1007632,U,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
199,Relatos Salvajes,2014,2h 2m,"Comedy, Drama, Thriller",8.1,223166,18,Six short stories that explore the extremities of human behavior involving people in distress.
200,Ratatouille,2007,1h 51m,"Animation, Adventure, Comedy",8.1,860127,U,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
201,How to Train Your Dragon,2010,1h 38m,"Animation, Action, Adventure",8.1,824418,U,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
202,The Deer Hunter,1978,3h 3m,"Drama, War",8.1,369791,A,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
203,Jaws,1975,2h 4m,"Adventure, Drama, Thriller",8.1,681129,A,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
204,Sherlock Jr.,1924,0h 45m,"Action, Comedy, Romance",8.2,59558,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
205,The General,1926,1h 18m,"Action, Adventure, Comedy",8.1,100579,Passed,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
206,Mary and Max,2009,1h 32m,"Animation, Comedy, Drama",8.1,192139,U,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
207,On the Waterfront,1954,1h 48m,"Crime, Drama, Thriller",8.1,169072,A,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
208,Le Salaire De La Peur,1953,2h 36m,"Adventure, Drama, Thriller",8.1,68535,U,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
209,Ford v. Ferrari,2019,2h 32m,"Action, Biography, Drama",8.1,503996,UA,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
210,Mr. Smith Goes to Washington,1939,2h 9m,"Comedy, Drama",8.1,123829,U,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
211,Smultronstället,1957,1h 32m,"Drama, Romance",8.1,117907,U,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
212,The Third Man,1949,1h 44m,"Film-Noir, Mystery, Thriller",8.1,186626,U,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
213,Logan,2017,2h 17m,"Action, Drama, Sci-Fi",8.1,870795,A,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
214,Rocky,1976,2h 0m,"Drama, Sport",8.1,646960,U,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
215,Tokyo Story,1953,2h 17m,Drama,8.1,71319,U,"An old couple visit their children and grandchildren in the city, but receive little attention."
216,The Big Lebowski,1998,1h 57m,"Comedy, Crime",8.1,877581,UA,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
217,Det Sjunde Inseglet,1957,1h 36m,"Drama, Fantasy",8.1,203791,A,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
218,Spotlight,2015,2h 9m,"Biography, Crime, Drama",8.1,511308,A,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
219,Room,2015,1h 58m,"Drama, Thriller",8.1,461124,U,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
220,The Terminator,1984,1h 47m,"Action, Adventure, Sci-Fi",8.1,948195,A,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.
221,Hotel Rwanda,2004,2h 1m,"Biography, Drama, History",8.1,378895,UA,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
222,Platoon,1986,2h 0m,"Drama, War",8.1,448474,UA,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
223,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,"Action, Adventure, Fantasy",8.1,1242026,UA,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
224,La haine,1995,1h 38m,"Crime, Drama",8.1,205049,Not Rated,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
225,Before Sunset,2004,1h 20m,"Drama, Romance",8.1,296023,A,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
226,Jai Bhim,2021,2h 44m,"Crime, Drama",8.7,222224,A,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
227,The Best Years of Our Lives,1946,2h 50m,"Drama, Romance, War",8.1,72600,Approved,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
228,La passion de Jeanne d'Arc,1928,1h 50m,"Biography, Drama, History",8.1,62858,Passed,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
229,The Exorcist,1973,2h 2m,Horror,8.1,469123,A,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life."
230,The Wizard of Oz,1939,1h 42m,"Adventure, Family, Fantasy",8.1,440813,U,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
231,The Incredibles,2004,1h 55m,"Animation, Action, Adventure",8,835522,U,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
232,Rush,2013,2h 3m,"Biography, Drama, Sport",8.1,525332,R,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
233,Network,1976,2h 1m,Drama,8.1,174859,UA,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control."
234,Stand by Me,1986,1h 29m,"Adventure, Comedy, Drama",8.1,454513,U,A writer recounts a childhood journey with his friends to find the body of a missing boy.
235,Hachi: A Dog's Tale,2009,1h 33m,"Biography, Drama, Family",8.1,320766,U,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds."
236,The Sound of Music,1965,2h 52m,"Biography, Drama, Family",8.1,268798,U,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
237,A Man Escaped,1956,1h 41m,"Drama, Thriller, War",8.2,26716,Not Rated,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.
238,My Father and My Son,2005,1h 52m,"Drama, Family",8.2,95187,Not Rated,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
239,Ah-ga-ssi,2016,2h 25m,"Drama, Romance, Thriller",8.1,181399,A,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune."
240,To Be or Not to Be,1942,1h 39m,"Comedy, Romance, War",8.1,45017,Approved,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
241,Into the Wild,2007,2h 28m,"Adventure, Biography, Drama",8.1,669819,U,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness."
242,La battaglia di Algeri,1966,2h 1m,"Drama, War",8.1,68065,Not Rated,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
243,The Iron Giant,1999,1h 26m,"Animation, Action, Adventure",8.1,237311,U,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
244,The Grapes of Wrath,1940,2h 9m,Drama,8.1,102228,Approved,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
245,Groundhog Day,1993,1h 41m,"Comedy, Drama, Fantasy",8,701839,U,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
246,Amores perros,2000,2h 34m,"Drama, Thriller",8,257317,A,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City."
247,Rebecca,1940,2h 10m,"Drama, Mystery, Romance",8.1,150176,Approved,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
248,The Help,2011,2h 26m,Drama,8.1,504221,UA,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
249,Eiga Koe No Katachi,2016,2h 10m,"Animation, Drama",8.1,110616,16,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends."
250,Cool Hand Luke,1967,2h 7m,"Crime, Drama",8,192304,U,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
